"Index","SKY.Open","SKY.High","SKY.Low","SKY.Close","SKY.Volume","SKY.Adjusted"
"2020-01-02",31.870001,32.119999,31.43,32.110001,452300,32.110001
"2020-01-03",31.639999,32.110001,30.85,32.060001,440100,32.060001
"2020-01-06",31.67,32.209999,31.32,32.049999,270600,32.049999
"2020-01-07",32.18,32.23,31.42,31.719999,285100,31.719999
"2020-01-08",32.07,33.049999,31.799999,32.049999,335200,32.049999
"2020-01-09",32.23,33.029999,32.23,32.84,368200,32.84
"2020-01-10",32.700001,33.66,32.389999,33.490002,429600,33.490002
"2020-01-13",33.27,34.790001,33.27,34.77,535600,34.77
"2020-01-14",34.889999,36.419998,34.720001,36.16,501300,36.16
"2020-01-15",36,36.919998,35.59,35.849998,812400,35.849998
"2020-01-16",36.299999,36.52,35.130001,35.470001,460100,35.470001
"2020-01-17",35.580002,35.799999,34.599998,34.889999,365900,34.889999
"2020-01-21",34.77,35.040001,34.130001,34.700001,538000,34.700001
"2020-01-22",34.970001,35.349998,34,34.02,498200,34.02
"2020-01-23",34.080002,36.240002,34.02,36.049999,613700,36.049999
"2020-01-24",36.279999,36.57,35.099998,35.970001,546900,35.970001
"2020-01-27",35.450001,36.700001,35.369999,35.919998,631800,35.919998
"2020-01-28",36.360001,37.029999,35.849998,36.189999,646300,36.189999
"2020-01-29",34,34,30.76,30.84,1804700,30.84
"2020-01-30",30.030001,30.82,29.459999,29.51,1079700,29.51
"2020-01-31",29.34,29.700001,28.34,28.75,831400,28.75
"2020-02-03",28.799999,29.51,28.389999,28.9,390500,28.9
"2020-02-04",29.41,29.440001,28.040001,28.32,655000,28.32
"2020-02-05",28.58,29.190001,28.049999,29.09,422000,29.09
"2020-02-06",29.33,29.370001,28.75,29.059999,343100,29.059999
"2020-02-07",28.879999,29.57,28.85,29.5,380700,29.5
"2020-02-10",29.379999,29.549999,28.940001,28.99,479500,28.99
"2020-02-11",29.18,29.27,28.530001,28.620001,716400,28.620001
"2020-02-12",28.700001,28.91,28,28.200001,725600,28.200001
"2020-02-13",28.25,29.219999,28.139999,28.440001,333200,28.440001
"2020-02-14",28.48,28.57,27.43,28.09,432200,28.09
"2020-02-18",28.129999,29.16,28.01,28.99,549400,28.99
"2020-02-19",29.18,29.459999,28.389999,28.440001,403600,28.440001
"2020-02-20",28.450001,29.139999,28.120001,29.049999,379300,29.049999
"2020-02-21",28.879999,29.309999,28.620001,29.040001,244300,29.040001
"2020-02-24",28.24,28.84,27.75,28.09,376200,28.09
"2020-02-25",28.139999,28.27,25.93,26.139999,712100,26.139999
"2020-02-26",26.24,27.450001,26.08,26.620001,782000,26.620001
"2020-02-27",26.040001,26.620001,25.200001,25.440001,394200,25.440001
"2020-02-28",24.440001,26.01,24.18,25.48,697300,25.48
"2020-03-02",25.77,25.940001,24.639999,25.51,512200,25.51
"2020-03-03",25.65,26.25,25,25.530001,650700,25.530001
"2020-03-04",26.059999,27.25,25.9,27.219999,668200,27.219999
"2020-03-05",26.68,26.790001,25.65,26.18,444900,26.18
"2020-03-06",25.309999,26.780001,24.950001,26.66,656400,26.66
"2020-03-09",24.98,25,21.120001,21.549999,834800,21.549999
"2020-03-10",22.01,22.530001,20.889999,22.049999,522600,22.049999
"2020-03-11",21.360001,22.01,20.02,20.58,609700,20.58
"2020-03-12",19.01,19.77,18.08,18.299999,548200,18.299999
"2020-03-13",19.440001,19.440001,17.200001,18.67,731800,18.67
"2020-03-16",18.17,18.17,15.7,16.120001,698800,16.120001
"2020-03-17",16.35,17.5,15.02,15.48,935500,15.48
"2020-03-18",14.87,14.87,10.82,13.63,1809300,13.63
"2020-03-19",13.57,15.77,13.03,15.22,997600,15.22
"2020-03-20",15.52,15.71,13.34,14.36,1010500,14.36
"2020-03-23",14.3,14.3,13.3,13.87,782300,13.87
"2020-03-24",14.37,15.58,14.28,14.75,778200,14.75
"2020-03-25",15,16.610001,15,15.84,818800,15.84
"2020-03-26",15.96,17.18,15.87,16.74,1022100,16.74
"2020-03-27",16.17,16.57,15.31,15.42,640200,15.42
"2020-03-30",15.51,16.4,14.94,16.18,542600,16.18
"2020-03-31",16.02,16.780001,15.59,15.68,539400,15.68
"2020-04-01",14.86,15.18,12.97,12.99,908200,12.99
"2020-04-02",13.05,14.22,12.1,12.54,1473300,12.54
"2020-04-03",12.3,12.69,11.74,12.21,657600,12.21
"2020-04-06",12.83,14.98,12.83,14.39,625200,14.39
"2020-04-07",14.43,15.6,14.04,14.49,943900,14.49
"2020-04-08",14.74,16.610001,14.49,16.209999,709800,16.209999
"2020-04-09",17.1,18.110001,16.4,16.950001,575500,16.950001
"2020-04-13",16.74,17.110001,15.7,16.48,711100,16.48
"2020-04-14",16.77,17.15,16.469999,17,598900,17
"2020-04-15",16.23,16.23,15.3,15.57,432800,15.57
"2020-04-16",15.58,16.040001,14.97,15.85,775700,15.85
"2020-04-17",16.74,17.15,16.299999,16.83,424000,16.83
"2020-04-20",16.32,16.48,15.57,15.74,314700,15.74
"2020-04-21",15.22,15.7,15.02,15.52,304800,15.52
"2020-04-22",16.02,16.18,15.5,15.66,337500,15.66
"2020-04-23",15.74,16.6,15.72,16.049999,694300,16.049999
"2020-04-24",16.24,16.76,16.07,16.66,355700,16.66
"2020-04-27",16.85,18.049999,16.709999,18.01,512200,18.01
"2020-04-28",18.66,20.73,18.66,20.59,1058900,20.59
"2020-04-29",21.49,21.83,20.450001,20.84,804100,20.84
"2020-04-30",20.469999,20.709999,19.49,19.709999,537500,19.709999
"2020-05-01",18.950001,19.6,18.559999,19.469999,668100,19.469999
"2020-05-04",18.799999,19.549999,18.540001,19.389999,333300,19.389999
"2020-05-05",19.870001,20.969999,19.700001,19.9,380900,19.9
"2020-05-06",19.84,20.450001,19.799999,20.07,319900,20.07
"2020-05-07",20.389999,20.83,20.200001,20.559999,391100,20.559999
"2020-05-08",21.25,21.870001,20.889999,21.82,555100,21.82
"2020-05-11",21.469999,21.91,20.66,21.379999,579600,21.379999
"2020-05-12",21.41,21.530001,19.950001,19.98,823900,19.98
"2020-05-13",19.74,20.030001,18.809999,19.059999,394200,19.059999
"2020-05-14",18.43,19.41,17.58,19.389999,683400,19.389999
"2020-05-15",19.34,20.49,19.209999,20.379999,565400,20.379999
"2020-05-18",22.01,22.98,21.9,22.809999,740900,22.809999
"2020-05-19",22.41,23.459999,22.08,22.33,600800,22.33
"2020-05-20",23.309999,25.02,22.91,24,936500,24
"2020-05-21",24,25,21.370001,24.35,1268900,24.35
"2020-05-22",24.799999,25.42,23.969999,24.469999,560300,24.469999
"2020-05-26",25.91,26.690001,25.299999,25.35,808100,25.35
"2020-05-27",26.01,27.200001,25.209999,27,751500,27
"2020-05-28",27.41,27.559999,24.02,24.360001,693600,24.360001
"2020-05-29",23.98,25.68,23.92,24.84,511700,24.84
"2020-06-01",24.809999,25.68,24.299999,24.9,523700,24.9
"2020-06-02",25.049999,25.43,24.43,24.610001,436900,24.610001
"2020-06-03",25.190001,26.41,25.07,26.049999,674900,26.049999
"2020-06-04",25.77,26.200001,24.18,24.299999,694200,24.299999
"2020-06-05",25.719999,26.82,25.01,26.59,844300,26.59
"2020-06-08",27.059999,27.370001,25.299999,25.67,947700,25.67
"2020-06-09",25.6,25.76,24.950001,25.32,631300,25.32
"2020-06-10",25.25,25.440001,24.299999,24.709999,852500,24.709999
"2020-06-11",23.1,24,21.700001,21.709999,932300,21.709999
"2020-06-12",22.799999,23.34,21.700001,22.4,672700,22.4
"2020-06-15",21.309999,24.290001,21.309999,24.280001,542800,24.280001
"2020-06-16",25.34,25.5,24.129999,25.02,426600,25.02
"2020-06-17",25,25.59,24.32,24.440001,319200,24.440001
"2020-06-18",23.99,24.68,23.51,23.68,281300,23.68
"2020-06-19",24.01,24.15,22.82,23.09,830400,23.09
"2020-06-22",22.84,23.75,22.58,23.620001,396800,23.620001
"2020-06-23",23.9,24.02,23.129999,23.74,335900,23.74
"2020-06-24",23.25,23.35,22.1,22.9,560600,22.9
"2020-06-25",22.559999,23.549999,22.309999,23.43,486300,23.43
